rank,Continent,Country or region,Score by Continent,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Europe,Finland,6.2629,7.769,1.34,1.587,0.986,0.596,0.153,0.393
2,Europe,Denmark,6.2629,7.6,1.383,1.573,0.996,0.592,0.252,0.41
3,Europe,Norway,6.2629,7.554,1.488,1.582,1.028,0.603,0.271,0.341
4,Europe,Iceland,6.2629,7.494,1.38,1.624,1.026,0.591,0.354,0.118
5,Europe,Netherlands,6.2629,7.488,1.396,1.522,0.999,0.557,0.322,0.298
6,Europe,Switzerland,6.2629,7.48,1.452,1.526,1.052,0.572,0.263,0.343
7,Europe,Sweden,6.2629,7.343,1.387,1.487,1.009,0.574,0.267,0.373
8,Oceania,New Zealand,6.603,7.307,1.303,1.557,1.026,0.585,0.33,0.38
9,America,Canada,6.0527,7.278,1.365,1.505,1.039,0.584,0.285,0.308
10,Europe,Austria,6.2629,7.246,1.376,1.475,1.016,0.532,0.244,0.226
11,Oceania,Australia,6.603,7.228,1.372,1.548,1.036,0.557,0.332,0.29
12,America,Costa Rica,6.0527,7.167,1.034,1.441,0.963,0.558,0.144,0.093
13,Asia,Israel,5.253,7.139,1.276,1.455,1.029,0.371,0.261,0.082
14,Europe,Luxembourg,6.2629,7.09,1.609,1.479,1.012,0.526,0.194,0.316
15,Europe,United Kingdom,6.2629,7.054,1.333,1.538,0.996,0.45,0.348,0.278
16,Europe,Ireland,6.2629,7.021,1.499,1.553,0.999,0.516,0.298,0.31
17,Europe,Germany,6.2629,6.985,1.373,1.454,0.987,0.495,0.261,0.265
18,Europe,Belgium,6.2629,6.923,1.356,1.504,0.986,0.473,0.16,0.21
19,America,United States,6.0527,6.892,1.433,1.457,0.874,0.454,0.28,0.128
20,Europe,Czech Republic,6.2629,6.852,1.269,1.487,0.92,0.457,0.046,0.036
21,Asia,United Arab Emirates,5.253,6.825,1.503,1.31,0.825,0.598,0.262,0.182
22,Europe,Malta,6.2629,6.726,1.3,1.52,0.999,0.564,0.375,0.151
23,America,Mexico,6.0527,6.595,1.07,1.323,0.861,0.433,0.074,0.073
24,Europe,France,6.2629,6.592,1.324,1.472,1.045,0.436,0.111,0.183
25,Asia,Taiwan,5.253,6.446,1.368,1.43,0.914,0.351,0.242,0.097
26,America,Chile,6.0527,6.444,1.159,1.369,0.92,0.357,0.187,0.056
27,America,Guatemala,6.0527,6.436,0.8,1.269,0.746,0.535,0.175,0.078
28,Asia,Saudi Arabia,5.253,6.375,1.403,1.357,0.795,0.439,0.08,0.132
29,Asia,Qatar,5.253,6.374,1.684,1.313,0.871,0.555,0.22,0.167
30,Europe,Spain,6.2629,6.354,1.286,1.484,1.062,0.362,0.153,0.079
31,America,Panama,6.0527,6.321,1.149,1.442,0.91,0.516,0.109,0.054
32,America,Brazil,6.0527,6.3,1.004,1.439,0.802,0.39,0.099,0.086
33,America,Uruguay,6.0527,6.293,1.124,1.465,0.891,0.523,0.127,0.15
34,Asia,Singapore,5.253,6.262,1.572,1.463,1.141,0.556,0.271,0.453
35,America,El Salvador,6.0527,6.253,0.794,1.242,0.789,0.43,0.093,0.074
36,Europe,Italy,6.2629,6.223,1.294,1.488,1.039,0.231,0.158,0.03
37,Asia,Bahrain,5.253,6.199,1.362,1.368,0.871,0.536,0.255,0.11
38,Europe,Slovakia,6.2629,6.198,1.246,1.504,0.881,0.334,0.121,0.014
